X,Y,wind_id,GID_0,turbines,landscape.area,water,urban,power
-12844080.5616956,6698044.18888186,1,USA,1,2.01061929829747,0,0,
-10442821.507993,4758129.15826781,2,USA,1,2.01061929829747,0,0,
-9856542.33424352,6010047.91643531,3,CAN,1,2.01061929829747,0,0,
-9865683.95370597,5639710.0092716,4,USA,1,2.01061929829747,0,0,
-10372878.3366293,4875290.17137694,5,USA,1,2.01061929829747,0,0,
-9873960.04864176,5622979.39529689,6,USA,1,2.01061929829747,0,0,
-9317471.11275344,6627347.45710274,7,CAN,1,2.01061929829747,0,0,
-9187108.00974973,6615452.90667515,8,CAN,1,2.01061929829747,0,0,
-9186594.28734722,6619853.72168912,9,CAN,1,2.01061929829747,0,0,
-9899168.26188304,5923645.15919293,10,USA,1,2.01061929829747,0,0,
-9857113.66166415,5625240.18221819,11,USA,1,2.01061929829747,0,0,
-10488654.4541417,4603415.18142616,12,USA,1,2.01061929829747,0,0,
-9955360.55796505,5618175.62905774,13,USA,1,2.01061929829747,0,1,
-10091290.4028132,5620031.00433622,14,USA,1,2.01061929829747,0,0,
-10113252.9917441,5588098.91554503,15,USA,1,2.01061929829747,0,0,
-10365530.139097,5022538.81198893,16,USA,1,2.01061929829747,0,0,
-10470237.9415801,4687782.05464297,17,USA,1,2.01061929829747,0,0,
-10506760.3679965,4795844.50223757,18,USA,1,2.01061929829747,0,1,
-10498774.3993684,4632255.8272612,19,USA,1,2.01061929829747,0,1,
-10157622.3785726,5533392.82039508,20,USA,1,2.01061929829747,0,0,
-9862614.13945714,5987057.58676496,21,CAN,1,2.01061929829747,0,1,
-10401867.8416253,4836389.60045091,22,USA,1,2.01061929829747,0,0,
-9295703.47425006,6579360.95737674,23,CAN,1,2.01061929829747,0,0,
-9785281.40911804,5764298.08606687,24,USA,1,2.01061929829747,0,0,
-9786934.00720426,5764342.92464233,25,USA,1,2.01061929829747,0,0,
-9787609.20811727,5765990.23181384,26,USA,1,2.01061929829747,0,0,
-9786682.84494502,5767453.74189338,27,USA,1,2.01061929829747,0,0,
-7709577.29077478,5498406.1299053,28,USA,1,2.01061929829747,0,0,
-10233013.393445,4386883.79814617,29,USA,1,2.01061929829747,0,0,
-7724456.70933622,5536738.51250237,30,USA,1,2.01061929829747,0,1,
